LEI,Name,DE_name,FR_name,IT_name,Entity_status,Registration_status,Conformity_flag,Legal_country,Legal_region,Legal_address,Legal_lat,Legal_lng,HQ_country,HQ_region,HQ_address,HQ_lat,HQ_lng,Legal_form_code,Legal_form_name,Parent,Registration_date,Selectable,Record_retrieved
-009-,ALGEBRIS (UK) LIMITED,,,ALGEBRIS (UK) LIMITED,,,,,,,,,,,,,,,,,,,
549300HH7ZKU17SIO079,ALGERT GLOBAL LLC,ALGERT GLOBAL LLC,,ALGERT GLOBAL LLC,ACTIVE,ISSUED,CONFORMING,US,US-DE,"DOVER, C/O INCORPORATING SERVICES, LTD. 3500 S DUPONT HWY",39.1108699,-75.5390987,US,US-CA,"San Francisco, 101 California Street Suite 3240",37.7930702,-122.3977777,HZEH,Limited Liability Company,,7/29/2002,,4/18/2025
-010-,ALKEN LUXEMBOURG,ALKEN LUXEMBOURG,,,,,,,,,,,,,,,,,,,,,
549300UIY3LFCTQ6PR80,"ALKEON CAPITAL MANAGEMENT, LLC",,"ALKEON CAPITAL MANAGEMENT, LLC",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-NY,"New York, 20th Floor 350 Madison Avenue",40.7544873,-73.9782968,HZEH,Limited Liability Company,,12/10/2001,,4/18/2025
724500J8YXYEHP7PEQ12,ALL OPTIONS INTERNATIONAL B.V.,ALL OPTIONS INTERNATIONAL B.V.,ALL OPTIONS INTERNATIONAL B.V.,,ACTIVE,ISSUED,CONFORMING,NL,,"Amsterdam, Kloveniersburgwal 87",52.3692966,4.8976271,NL,,"Amsterdam, Kloveniersburgwal 87",52.3692966,4.8976271,54M6,besloten vennootschap met beperkte aansprakelijkheid,724500TSM4XQZG1G1T53,2/15/1998,,4/18/2025
-011-,ALLIANCE BERNSTEIN LTD,ALLIANCE BERNSTEIN LTD,,,,,,,,,,,,,,,,,,,,,
0JK55UGWSWNF3X7KLQ85,ALLIANCEBERNSTEIN L.P.,,ALLIANCEBERNSTEIN L.P.,,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST",39.7484301,-75.5477307,US,US-DE,"WILMINGTON, CORPORATION TRUST CENTER 1209 ORANGE ST",39.7484301,-75.5477307,T91T,Limited Partnership,549300FIBAKMNHPZ4009,4/6/1999,,4/18/2025
5493001CTO4P9AR4U589,"ALLIANCEBERNSTEIN, LP",,,"ALLIANCEBERNSTEIN, LP",ACTIVE,ISSUED,CONFORMING,GB,,"London, 60 London Wall",51.5167528,-0.0870866,GB,,"London, 60 London Wall",51.5167528,-0.0870866,H0PO,Private Limited Company,0JK55UGWSWNF3X7KLQ85,10/23/1990,,4/18/2025
-012-,ALLIANZ GLOBAL INVESTORS EUROPE GMBH,ALLIANZ GLOBAL INVESTORS EUROPE GMBH,,,,,,,,,,,,,,,,,,,,,
OJ2TIQSVQND4IZYYK658,ALLIANZ GLOBAL INVESTORS GMBH,ALLIANZ GLOBAL INVESTORS GMBH,ALLIANZ GLOBAL INVESTORS GMBH,,ACTIVE,ISSUED,CONFORMING,DE,DE-HE,"Frankfurt am Main, Bockenheimer Landstraße 42-44",50.1180915,8.6645042,DE,DE-HE,"Frankfurt am Main, Bockenheimer Landstraße 42-44",50.1180915,8.6645042,2HBR,Gesellschaft mit beschränkter Haftung,529900K9B0N5BT694847,3/19/1956,,4/18/2025
549300RWX418KRTZRJ23,ALPINE ASSOCIATES MANAGEMENT INC.,ALPINE ASSOCIATES MANAGEMENT INC.,ALPINE ASSOCIATES MANAGEMENT INC.,,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O UNITED STATES CORPORATION COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-NJ,"Englewood Cliffs, 574 Sylvan Avenue",40.885414,-73.9476693,XTIQ,Corporation,,5/17/1984,,4/18/2025
549300K7LRS1N21P0D09,"ALPINE HERITAGE, L.P.",,"ALPINE HERITAGE, L.P.",,ACTIVE,ISSUED,CONFORMING,US,US-NJ,"Ramsey, C/O James P. Jalil 25 Fawn Hill Court",41.0556881,-74.1635893,US,US-NJ,"Englewood Cliffs, C/O ALPINE ASSOCIATES MANAGEMENT INC. 574 Sylvan Avenue",40.8853751,-73.9476129,8888,FUND,549300RWX418KRTZRJ23,12/14/2007,,4/18/2025
635400BUD34GRHIXFT51,ALTAIR INVESTMENT MANAGEMENT LIMITED,ALTAIR INVESTMENT MANAGEMENT LIMITED,ALTAIR INVESTMENT MANAGEMENT LIMITED,ALTAIR INVESTMENT MANAGEMENT LIMITED,ACTIVE,ISSUED,CONFORMING,BM,,"Hamilton, Canon's Court 22 Victoria St",-37.7825893,175.2527624,BM,,"Hamilton, Canon's Court 22 Victoria St",-37.7825893,175.2527624,9999,Exempted Company Limited By Shares,,10/17/2005,,4/18/2025
213800ST7K63S1FSZ631,ALTAVISTA INVESTMENT MANAGEMENT UK LLP,ALTAVISTA INVESTMENT MANAGEMENT UK LLP,,,ACTIVE,LAPSED,NON_CONFORMING,GB,GB-ESS,"BASILDON, 29 PITTFIELDS, LANGDON HILLS",51.5671133,0.4162635,GB,GB-ESS,"BASILDON, 29 PITTFIELDS, LANGDON HILLS",51.5671133,0.4162635,Z0EY,Limited Liability Partnership,,12/3/2014,,4/18/2025
213800WKXUG8MM9CYQ33,ALVENTO CAPITAL PARTNERS LLP,,,ALVENTO CAPITAL PARTNERS LLP,ACTIVE,LAPSED,NON_CONFORMING,GB,GB-LND,"LONDON, 7TH FLOOR 1 KNIGHTSBRIDGE GREEN",51.5009542,-0.1624666,GB,GB-LND,"LONDON, 7TH FLOOR 1 KNIGHTSBRIDGE GREEN",51.5009542,-0.1624666,Z0EY,Limited Liability Partnership,,12/15/2014,,4/18/2025
549300TX8DKDGZTDZY07,ALYESKA INVESTMENT GROUP LP,ALYESKA INVESTMENT GROUP LP,,,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-IL,"Chicago, 77 West Wacker Drive Suite 700",41.8865252,-87.6306005,T91T,Limited Partnership,,2/6/2008,,4/18/2025
549300K154U0853ZW995,AMBER CAPITAL UK LLP,,AMBER CAPITAL UK LLP,AMBER CAPITAL UK LLP,ACTIVE,ISSUED,NON_CONFORMING,GB,,"London, Kent House 14-17 Market Place",51.5162965,-0.1399808,GB,,"London, Kent House 14-17 Market Place",51.5162965,-0.1399808,Z0EY,Limited Liability Partnership,,9/22/2006,,4/18/2025
549300UO4SF2KO2FE619,AMIA CAPITAL LLP,AMIA CAPITAL LLP,AMIA CAPITAL LLP,,ACTIVE,ISSUED,CONFORMING,GB,GB-LND,"London, Cleveland House 33 King Street",51.51168,-0.1247236,GB,GB-LND,"London, Cleveland House 33 King Street",51.51168,-0.1247236,Z0EY,Limited Liability Partnership,,11/11/2016,,4/18/2025
-013-,"AMICI CAPITAL, LLC",,,"AMICI CAPITAL, LLC",,,,,,,,,,,,,,,,,,,
549300ZH01NHCGMTW584,"ANCHOR BOLT CAPITAL, LP","ANCHOR BOLT CAPITAL, LP","ANCHOR BOLT CAPITAL, LP","ANCHOR BOLT CAPITAL, LP",ACTIVE,LAPSED,NON_CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-IL,"Chicago, 444 West Lake Street Suite 4400",41.8863146,-87.6395078,T91T,Limited Partnership,,12/4/2017,,4/18/2025
ZMMMIWGPLCGM02OPGM14,"ANCHORAGE CAPITAL GROUP, L.L.C.",,"ANCHORAGE CAPITAL GROUP, L.L.C.",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-NY,"NEW YORK, 610 BROADWAY",40.7255446,-73.9963634,HZEH,Limited Liability Company,,6/11/2003,,4/18/2025
SB0XEHS3OC1WV7XZZD07,"ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.","ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.","ANCHORAGE CAPITAL MASTER OFFSHORE, LTD.",,ACTIVE,ISSUED,CONFORMING,KY,,"GEORGE TOWN, C/O WALKERS CORPORATE LIMITED 190 ELGIN AVENUE GRAND CAYMAN",19.2918507,-81.3770943,US,US-NY,"NEW YORK, C/O ANCHORAGE CAPITAL GROUP, L.L.C. 610 BROADWAY",40.725563,-73.9963173,OSBR,company limited by shares,ZMMMIWGPLCGM02OPGM14,8/23/2012,,4/18/2025
549300CSQTEOQKHXDM02,"ANCHORAGE OPPORTUNITIES ADVISOR, L.L.C.",,"ANCHORAGE OPPORTUNITIES ADVISOR, L.L.C.",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,HZEH,Limited Liability Company,,1/28/2022,,4/18/2025
549300L1ZLHE6IEMWN47,"ANCIENT ART, L.P.",,"ANCIENT ART, L.P.",,ACTIVE,ISSUED,CONFORMING,US,US-TX,"AUSTIN, C/O QUINCY J LEE 500 WEST 5TH STREET SUITE 1110",30.2688431,-97.748206,US,US-TX,"Austin, 500 W 5TH ST STE 1110",30.2688431,-97.748206,FE1L,Limited Partnership,,2/22/2002,,4/18/2025
XXJ8O8RONB9FETFPCB63,"ANGELO, GORDON & CO., L.P.","ANGELO, GORDON & CO., L.P.","ANGELO, GORDON & CO., L.P.",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O MAPLES FIDUCIARY SERVICES (DELAWARE) INC. 4001 KENNETT PIKE SUITE 302",39.7792956,-75.597211,US,US-NY,"New York, 26th Floor 245 Park Avenue",40.7545475,-73.9745088,T91T,Limited Partnership,,8/18/1988,,4/18/2025
5493000JR1Y9ZT78U305,"ANOMALY CAPITAL MANAGEMENT, LP","ANOMALY CAPITAL MANAGEMENT, LP",,,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, NEW CASTLE, 251 LITTLE FALLS DRIVE c/o CORPORATION SERVICE COMPANY",39.7611478,-75.6226616,US,US-NY,"New York, 510 Madison Avenue",40.759769,-73.9746381,T91T,Limited Partnership,,10/10/2019,,4/18/2025
-014-,ANTONIO PAPA,,,ANTONIO PAPA,,,,,,,,,,,,,,,,,,,
549300SYTE7FKXY57D44,"APERTURE INVESTORS UK, LTD","APERTURE INVESTORS UK, LTD",,,ACTIVE,ISSUED,CONFORMING,GB,,"London, 1 Old Queen Street",51.5008384,-0.1298402,GB,,"LONDON, THIRD FLOOR RENOIR HOUSE 135-137 NEW BOND STREET",51.5118647,-0.1443813,H0PO,Private Limited Company,549300SWL8EGVNTT6U07,9/18/2018,,4/18/2025
549300GC5MDF1KXYMP06,"AQR CAPITAL MANAGEMENT, LLC","AQR CAPITAL MANAGEMENT, LLC","AQR CAPITAL MANAGEMENT, LLC","AQR CAPITAL MANAGEMENT, LLC",ACTIVE,ISSUED,CONFORMING,US,US-DE,"DOVER, C/O COGENCY GLOBAL INC. 850 NEW BURTON ROAD SUITE 201",39.1487234,-75.5303148,US,US-DE,"DOVER, 850 NEW BURTON ROAD SUITE 201",39.1484521,-75.5305646,HZEH,Limited Liability Company,,1/30/1998,,4/18/2025
-015-,ARGONAUT CAPITAL,ARGONAUT CAPITAL,,,,,,,,,,,,,,,,,,,,,
00GBW0Z2GYIER7DHDS71,"ARISTEIA CAPITAL, L.L.C.",,"ARISTEIA CAPITAL, L.L.C.",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"Wilmington, C/o The Corporation Trust Company Corporation Trust Center 1209 Orange St",39.7484301,-75.5477307,US,US-CT,"Greenwich, 3rd Floor One Greenwich Plaza",41.0210511,-73.6254222,HZEH,Limited Liability Company,,6/3/1997,,4/18/2025
549300KF4D500QMUP976,"ARMISTICE CAPITAL, LLC","ARMISTICE CAPITAL, LLC","ARMISTICE CAPITAL, LLC",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"Wilmington, 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-DE,"Wilmington, 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,HZEH,Limited Liability Company,,4/11/2012,,4/18/2025
IFI2X3INNNHQPFRTNK08,ARROWGRASS CAPITAL PARTNERS LLP,ARROWGRASS CAPITAL PARTNERS LLP,ARROWGRASS CAPITAL PARTNERS LLP,ARROWGRASS CAPITAL PARTNERS LLP,ACTIVE,LAPSED,NON_CONFORMING,GB,GB-LND,"LONDON, 21 GLOUCESTER PLACE",51.5171722,-0.1578161,GB,GB-LND,"LONDON, 4TH FLOOR 21 GLOUCESTER PLACE",51.5171722,-0.1578161,Z0EY,Limited Liability Partnership,,6/6/2012,,4/18/2025
LO3UDTZUG0RICVPFGQ53,"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",ACTIVE,ISSUED,CONFORMING,US,US-MA,"BOSTON, C/O ERIC BURNETT 200 CLARENDON STREET FLOOR 30",42.3493011,-71.0752547,US,US-MA,"BOSTON, 200 CLARENDON STREET FLOOR 30",42.3493011,-71.0752547,GOGQ,Limited Partnership,,6/16/1999,,4/18/2025
YC535TVIYEYPXKLE2T40,ASIAN CENTURY QUEST CAPITAL LLC,ASIAN CENTURY QUEST CAPITAL LLC,,,ACTIVE,LAPSED,NON_CONFORMING,US,US-DE,"Wilmington, C/O Corporation Service Company 2711 Centerville Road Suite 400",39.7546839,-75.6272381,US,US-DE,"Wilmington, C/O Corporation Service Company 2711 Centerville Road Suite 400",39.7546839,-75.6272381,HZEH,Limited Liability Company,,6/6/2012,,4/18/2025
254900XPWZ9PLP78QI75,ASLAN HOUSE CAPITAL LLP,,ASLAN HOUSE CAPITAL LLP,,INACTIVE,RETIRED,NOT_APPLICABLE,GB,,"London, 5th Floor 20 North Audley Street",51.5133784,-0.1534139,GB,,"London, 5th Floor 20 North Audley Street",51.5133784,-0.1534139,Z0EY,Limited Liability Partnership,,2/22/2019,,4/18/2025
69J6YZOPJKDCUWSN5B26,ASTARIS CAPITAL MANAGEMENT LLP,ASTARIS CAPITAL MANAGEMENT LLP,ASTARIS CAPITAL MANAGEMENT LLP,ASTARIS CAPITAL MANAGEMENT LLP,ACTIVE,ISSUED,CONFORMING,GB,GB-LND,"LONDON, 3 TILNEY STREET, FIFTH FLOOR",51.5072313,-0.1514495,GB,GB-LND,"LONDON, 3 TILNEY STREET, FIFTH FLOOR",51.5072313,-0.1514495,Z0EY,Limited Liability Partnership,,8/5/2008,,4/18/2025
-016-,ASTELLON CAPITAL PARTNERS,ASTELLON CAPITAL PARTNERS,,,,,,,,,,,,,,,,,,,,,
5493002ILCPT6HQ1PR66,ASTURIAS CAPITAL LLC,,ASTURIAS CAPITAL LLC,,ACTIVE,LAPSED,NON_CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-NY,"New York, 17th Floor 601 Lexington Avenue",40.758362,-73.9698216,HZEH,Limited Liability Company,,2/8/2017,,4/18/2025
5493003POTVCIVPXN749,"ATALAN CAPITAL PARTNERS, LP",,"ATALAN CAPITAL PARTNERS, LP",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-NY,"New York, 17th Floor 140 East 45th Street",40.752707,-73.9740497,T91T,Limited Partnership,,12/19/2014,,4/18/2025
549300UL6VOAY275IT98,"ATLAS SPECIAL OPPORTUNITIES, LLC","ATLAS SPECIAL OPPORTUNITIES, LLC",,,ACTIVE,ISSUED,CONFORMING,KY,,"George Town, C/O Maples Corporate Services Limited PO Box 309 Ugland House",19.2924396,-81.3857791,US,US-NY,"New York, 59th Floor 405 Lexington Avenue",40.7518068,-73.9754728,MPUG,limited liability company,,1/23/2018,,4/18/2025
549300D65T1VYTLMCP46,ATOM INVESTORS LP,ATOM INVESTORS LP,,,ACTIVE,ISSUED,NON_CONFORMING,US,US-DE,"WILMINGTON, C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,US,US-DE,"WILMINGTON, 251 LITTLE FALLS DRIVE",39.7611478,-75.6226616,T91T,Limited Partnership,,2/16/2018,,4/18/2025
-017-,AUTONOMY CAPITAL (JERSEY) L.P.,AUTONOMY CAPITAL (JERSEY) L.P.,,,,,,,,,,,,,,,,,,,,,
213800NWOV2HZHVTTC54,AXA INVESTMENT MANAGERS CHORUS LIMITED,AXA IM HONG KONG LIMITED (TRADING AS AXA INVESTMENT MANAGERS CHORUS),AXA INVESTMENT MANAGERS CHORUS LIMITED,,ACTIVE,ISSUED,CONFORMING,HK,,"CENTRAL, SUITES 5709-10, 57/F, ONE ISLAND EAST 18 WESTLANDS ROAD QUARRY BAY",22.2862479,114.2135458,HK,,"CENTRAL, SUITES 5709-10, 57/F, ONE ISLAND EAST 18 WESTLANDS ROAD QUARRY BAY",22.2862479,114.2135458,254M,Si ren gu fen you xian gong si,,6/7/2016,,4/18/2025
549300Z4D0TJV38NYZ04,"AXIAL CAPITAL MANAGEMENT, LLC",,"AXIAL CAPITAL MANAGEMENT, LLC",,ACTIVE,LAPSED,NON_CONFORMING,US,US-DE,"Wilmington, C/O Corporation Service Company 2711 Centerville Road Suite 400",39.7546839,-75.6272381,US,US-DE,"Wilmington, C/O Corporation Service Company 2711 Centerville Road Suite 400",39.7546839,-75.6272381,HZEH,Limited Liability Company,,3/12/2013,,4/18/2025
529900JFOPPEDUR61H13,BAADER BANK AKTIENGESELLSCHAFT,BAADER BANK AKTIENGESELLSCHAFT,,,ACTIVE,ISSUED,CONFORMING,DE,DE-BY,"Unterschleißheim, Weihenstephaner Str. 4",48.286734,11.5870293,DE,DE-BY,"Unterschleißheim, Weihenstephaner Str. 4",48.286734,11.5870293,6QQB,Aktiengesellschaft,,8/9/1998,,4/18/2025
-018-,"BAIN CAPITAL PUBLIC EQUITY MANAGEMENT, LLC",,,"BAIN CAPITAL PUBLIC EQUITY MANAGEMENT, LLC",,,,,,,,,,,,,,,,,,,
6UYOOZUIKHTN7U75ZV92,"BAIN CAPITAL PUBLIC EQUITY, LP",,"BAIN CAPITAL PUBLIC EQUITY, LP",,ACTIVE,ISSUED,CONFORMING,US,US-DE,"WILMINGTON, C/O MAPLES FIDUCIARY SERVICES (DELAWARE) INC. 4001 KENNETT PIKE, SUITE 302",39.7792956,-75.597211,US,US-DE,"WILMINGTON, 4001 KENNETT PIKE, SUITE 302",39.7792746,-75.5971906,T91T,Limited Partnership,,5/15/2000,,4/18/2025
549300RYJEP013YME360,BALYASNY ASSET MANAGEMENT (UK) LLP,BALYASNY ASSET MANAGEMENT (UK) LLP,BALYASNY ASSET MANAGEMENT (UK) LLP,BALYASNY ASSET MANAGEMENT (UK) LLP,ACTIVE,ISSUED,NON_CONFORMING,GB,,"London, 23 KING STREET, 4TH FLOOR",51.5060915,-0.1375619,GB,,"London, 23 KING STREET, 4TH FLOOR",51.5060915,-0.1375619,Z0EY,Limited Liability Partnership,,7/29/2004,,4/18/2025
